"export-plot data (NetLogo 6.4.0)"
"Knowledge_diffusion.nlogo"
"02/08/2024 10:16:32:933 +0100"

"MODEL SETTINGS"
"study-rate","nb-disciplines","knowledge-loss","move-speed","nb-turtles-per-type"
"0.4","2","2","1","5"

"""Mean knowledge per discipline"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","715","0","100","true","""discipline 1""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""Knowledge mid-value""","true","0","1","0","635"
"""discipline 0""","true","0","1","55","635"
"""discipline 1""","true","0","1","105","635"

"""Knowledge mid-value""",,,,"""discipline 0""",,,,"""discipline 1"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","50","0","true","0","55.6","55","true","0","41.9","105","true"
"1","50","0","true","1","55.6","55","true","1","41.3","105","true"
"2","50","0","true","2","55.6","55","true","2","41.3","105","true"
"3","50","0","true","3","56.6","55","true","3","40.3","105","true"
"4","50","0","true","4","55.6","55","true","4","38.9","105","true"
"5","50","0","true","5","53.6","55","true","5","40.6","105","true"
"6","50","0","true","6","51.6","55","true","6","40.8","105","true"
"7","50","0","true","7","52.6","55","true","7","41.2","105","true"
"8","50","0","true","8","52.6","55","true","8","41.2","105","true"
"9","50","0","true","9","51.6","55","true","9","40.6","105","true"
"10","50","0","true","10","51.6","55","true","10","39.6","105","true"
"11","50","0","true","11","50.6","55","true","11","42","105","true"
"12","50","0","true","12","52.6","55","true","12","42","105","true"
"13","50","0","true","13","54.4","55","true","13","42","105","true"
"14","50","0","true","14","54.6","55","true","14","41","105","true"
"15","50","0","true","15","52.8","55","true","15","42.1","105","true"
"16","50","0","true","16","52.8","55","true","16","41.3","105","true"
"17","50","0","true","17","51.8","55","true","17","42.8","105","true"
"18","50","0","true","18","49.8","55","true","18","44.2","105","true"
"19","50","0","true","19","49.8","55","true","19","43.4","105","true"
"20","50","0","true","20","50.8","55","true","20","43.6","105","true"
"21","50","0","true","21","49.8","55","true","21","42.8","105","true"
"22","50","0","true","22","47.8","55","true","22","44.8","105","true"
"23","50","0","true","23","47.8","55","true","23","43.8","105","true"
"24","50","0","true","24","47","55","true","24","44.8","105","true"
"25","50","0","true","25","47.2","55","true","25","46.8","105","true"
"26","50","0","true","26","46.4","55","true","26","45.8","105","true"
"27","50","0","true","27","44.6","55","true","27","47","105","true"
"28","50","0","true","28","43.8","55","true","28","46.2","105","true"
"29","50","0","true","29","43","55","true","29","46","105","true"
"30","50","0","true","30","42.2","55","true","30","46.2","105","true"
"31","50","0","true","31","43.4","55","true","31","45.4","105","true"
"32","50","0","true","32","42.6","55","true","32","45.6","105","true"
"33","50","0","true","33","44.8","55","true","33","45.8","105","true"
"34","50","0","true","34","47","55","true","34","46","105","true"
"35","50","0","true","35","45.7","55","true","35","47.2","105","true"
"36","50","0","true","36","44.3","55","true","36","47.4","105","true"
"37","50","0","true","37","43.5","55","true","37","48.4","105","true"
"38","50","0","true","38","42.7","55","true","38","48.2","105","true"
"39","50","0","true","39","43.9","55","true","39","47.2","105","true"
"40","50","0","true","40","46.1","55","true","40","47.2","105","true"
"41","50","0","true","41","45.3","55","true","41","45.8","105","true"
"42","50","0","true","42","46.5","55","true","42","46.2","105","true"
"43","50","0","true","43","47.7","55","true","43","46.8","105","true"
"44","50","0","true","44","48.9","55","true","44","46.2","105","true"
"45","50","0","true","45","48.7","55","true","45","47.4","105","true"
"46","50","0","true","46","50.7","55","true","46","50","105","true"
"47","50","0","true","47","50.7","55","true","47","51","105","true"
"48","50","0","true","48","48.7","55","true","48","51.8","105","true"
"49","50","0","true","49","49.7","55","true","49","50.8","105","true"
"50","50","0","true","50","50.7","55","true","50","50.6","105","true"
"51","50","0","true","51","48.7","55","true","51","49.4","105","true"
"52","50","0","true","52","49.7","55","true","52","47.6","105","true"
"53","50","0","true","53","50.7","55","true","53","47.2","105","true"
"54","50","0","true","54","49.7","55","true","54","47.2","105","true"
"55","50","0","true","55","50.7","55","true","55","47.6","105","true"
"56","50","0","true","56","53.7","55","true","56","45.6","105","true"
"57","50","0","true","57","52.7","55","true","57","46.6","105","true"
"58","50","0","true","58","53.7","55","true","58","45.6","105","true"
"59","50","0","true","59","52.7","55","true","59","49.4","105","true"
"60","50","0","true","60","52.7","55","true","60","48.5","105","true"
"61","50","0","true","61","53.7","55","true","61","48.7","105","true"
"62","50","0","true","62","56.7","55","true","62","49.9","105","true"
"63","50","0","true","63","57.7","55","true","63","48.1","105","true"
"64","50","0","true","64","57.7","55","true","64","46.3","105","true"
"65","50","0","true","65","57.7","55","true","65","49.5","105","true"
"66","50","0","true","66","59.7","55","true","66","48.7","105","true"
"67","50","0","true","67","59.7","55","true","67","48.7","105","true"
"68","50","0","true","68","59.7","55","true","68","47.7","105","true"
"69","50","0","true","69","58.7","55","true","69","46.9","105","true"
"70","50","0","true","70","57.7","55","true","70","47.9","105","true"
"71","50","0","true","71","56.7","55","true","71","47.9","105","true"
"72","50","0","true","72","58.7","55","true","72","47.1","105","true"
"73","50","0","true","73","59.7","55","true","73","49.1","105","true"
"74","50","0","true","74","59.7","55","true","74","49.1","105","true"
"75","50","0","true","75","58.7","55","true","75","51.3","105","true"
"76","50","0","true","76","57.7","55","true","76","50.5","105","true"
"77","50","0","true","77","60.1","55","true","77","48.7","105","true"
"78","50","0","true","78","58.3","55","true","78","47.7","105","true"
"79","50","0","true","79","57.5","55","true","79","46.9","105","true"
"80","50","0","true","80","55.7","55","true","80","47.5","105","true"
"81","50","0","true","81","57.7","55","true","81","46.7","105","true"
"82","50","0","true","82","58.7","55","true","82","46.9","105","true"
"83","50","0","true","83","60.3","55","true","83","48.1","105","true"
"84","50","0","true","84","60.3","55","true","84","48.3","105","true"
"85","50","0","true","85","61.3","55","true","85","47.3","105","true"
"86","50","0","true","86","60.3","55","true","86","47.7","105","true"
"87","50","0","true","87","62.3","55","true","87","46.7","105","true"
"88","50","0","true","88","60.3","55","true","88","47.9","105","true"
"89","50","0","true","89","60.3","55","true","89","48.5","105","true"
"90","50","0","true","90","60.3","55","true","90","50.5","105","true"
"91","50","0","true","91","59.3","55","true","91","49.5","105","true"
"92","50","0","true","92","59.3","55","true","92","48.5","105","true"
"93","50","0","true","93","58.3","55","true","93","46.7","105","true"
"94","50","0","true","94","59.3","55","true","94","47.1","105","true"
"95","50","0","true","95","58.3","55","true","95","46.5","105","true"
"96","50","0","true","96","58.3","55","true","96","45.9","105","true"
"97","50","0","true","97","59.3","55","true","97","45.3","105","true"
"98","50","0","true","98","58.3","55","true","98","46.7","105","true"
"99","50","0","true","99","59.3","55","true","99","46.1","105","true"
"100","50","0","true","100","59.3","55","true","100","47.3","105","true"
"101","50","0","true","101","58.3","55","true","101","46.5","105","true"
"102","50","0","true","102","57.3","55","true","102","47.7","105","true"
"103","50","0","true","103","58.3","55","true","103","45.9","105","true"
"104","50","0","true","104","56.3","55","true","104","45.1","105","true"
"105","50","0","true","105","54.3","55","true","105","47.3","105","true"
